Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout,embeddings,embeddings_size,epochs,filters_count,filters_length,freeze_embedings,hidden_layers,lr,lstm_hidden_size,lstm_num_layers,model_type,random-buffer-size,test_bacc,test_loss,train_loss,validation_bacc,validation_loss
2022-02-07 09:57:44,2.4h,f9cc1d4f6cf843eaafc6d0431efef71d,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,256.0,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,100.0,[3],True,"[256, 128]",0.001,,,CNN,4096,0.300603127633658,5.632974093218884,5.634374902567928,0.281367565155379,5.635198303955516
2022-02-05 02:07:33,15.7h,d19bb65d1b8d450fbe4dc4ddc54974ee,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.0,./data/SBW-vectors-300-min5.txt.gz,300,5,,,True,"[256, 128]",0.001,64.0,1.0,LSTM,2048,0.8853056293606225,0.5079334567798429,0.8036620660087052,0.8112245821030463,0.8061361991412918
2022-02-05 01:56:17,6.6d,38208a0d00254e7fb087b83ac8e2a6be,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.0,./data/SBW-vectors-300-min5.txt.gz,300,15,,,True,"[256, 128]",0.001,128.0,1.0,LSTM,2048,0.9144071436737924,0.3689388676161268,0.6165106099557216,0.8477561000142944,0.6384998971081708
2022-02-04 12:40:46,3.9h,6c62d684222c4693b1757adafd819456,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.0,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[512, 256, 128]",0.001,,,MLP,2048,0.7570624914214212,1.0840300118408528,1.3001353143024856,0.6999670239254147,1.3390105392388834
2022-02-04 12:39:07,1.8h,8fb586d3fe8b40fca3861e1eb4466c59,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.0,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128]",0.001,,,MLP,2048,0.7358858191366292,1.253229793505257,1.4844554959286085,0.6799527499212779,1.5127845153514872
2022-02-04 11:42:56,21.8h,770e1ead03c5412cb51ef05f6af1514a,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128]",0.001,128.0,1.0,LSTM,2048,0.8534756134323357,0.6453834674863451,0.7847135606128174,0.7759309811304878,0.9742918731628064
2022-02-04 11:34:28,5.1h,dfe71a57d3fb48aea73949eb8338f4de,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128]",0.001,64.0,1.0,LSTM,2048,0.8182191494645775,0.8242159833809937,1.050530627221136,0.7366183552124704,1.1550645313209238
2022-02-04 11:16:33,1.3h,dbbd8fdeaef347a3b44f2170eaaba3ec,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.1,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128]",0.001,,,MLP,2048,0.6285684346313718,1.788963515416207,1.9698446653546624,0.5785353225126119,1.977232030908624
2022-02-04 10:19:16,5.2h,948280cc675e43e2baa5ef39654f19e5,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FAILED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,50,,,True,"[256, 128]",0.001,,,MLP,2048,,,2.640397562122233,0.4468227051602903,2.6435574315577166
2022-02-04 10:18:41,1.2h,074e87bf27ec453f8b7448d03549a9cd,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128, 64]",0.001,,,MLP,2048,0.31757897765169,3.3947853194661888,3.2748506510860858,0.2946440252074043,3.27802763255015
2022-02-04 10:16:41,6.4h,e1f17dcac1254202906c12a64eff90fc,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,200.0,[5],True,"[256, 128]",0.001,,,CNN,8192,0.2684194212515494,5.631476648361328,5.636131785439266,0.2507607498838529,5.635028035988296
2022-02-04 09:55:57,5.7h,7c8bcc2667324f819c2576cbb940e281,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,200.0,[3],True,"[256, 128]",0.001,,,CNN,4096,0.2804871079301788,5.629289409721712,5.631127327447593,0.2636317973646052,5.631175982455932
2022-02-04 09:55:47,1.1h,f983f4e80a93479bb781f5b859febf15,,LOCAL,/Users/christianoviedo/Desktop/ciencia_datos/diplo_datos_repos/diplo_datos_git_practicos_new/optativas/aprendizaje_profundo/practico/experiment/run_model.py,christianoviedo,FINISHED,,0.3,./data/SBW-vectors-300-min5.txt.gz,300,10,,,True,"[256, 128]",0.001,,,MLP,2048,0.4673543460989387,2.6579433808843773,2.708457905941655,0.4309947125033067,2.718545804535388
